
ASSISTIDO: Título=A Guerra dos Rocha, Ano=2008, IMDbID=tt0972378, Data=Sun Jun 23 23:52:14 BRT 2024
ASSISTIDO: Título=A Guerra dos Rocha, Ano=2008, IMDbID=tt0972378, Data=Sun Jun 23 23:52:40 BRT 2024
ASSISTIDO: Título=Avatar: The Last Airbender - The Legend of Aang, Ano=2006, IMDbID=tt0959552, Data=Sun Jun 23 23:54:44 BRT 2024
ASSISTIDO: Título=Harry Potter and the Chamber of Secrets, Ano=2002, IMDbID=tt0295297, Data=Sun Jun 23 23:54:58 BRT 2024
ASSISTIDO: Título=Avatar: The Last Airbender - The Legend So Far, Ano=2005, IMDbID=tt1605838, Data=Sun Jun 23 23:59:05 BRT 2024
ASSISTIDO: Título=Avatar: The Last Airbender - The Legend of Aang, Ano=2006, IMDbID=tt0959552, Data=Mon Jun 24 00:00:55 BRT 2024
ASSISTIDO: Título=The King's Avatar, Ano=2017–, IMDbID=tt6859260, Data=Mon Jun 24 00:01:56 BRT 2024
ASSISTIDO: Título=Divertidamente, Ano=2018–, IMDbID=tt8245288, Data=Mon Jun 24 00:10:19 BRT 2024
ASSISTIDO: Título=Dasham Avatar, Ano=2023, IMDbID=tt27561990, Data=Mon Jun 24 00:17:19 BRT 2024
ASSISTIDO: Título=Avatar: The Last Airbender - The Legend of Aang, Ano=2006, IMDbID=tt0959552, Data=Wed Jun 26 21:52:50 BRT 2024
ASSISTIDO: Título=Avatar: The Way of Water, Ano=2022, IMDbID=tt1630029, Data=Wed Jun 26 21:54:35 BRT 2024
ASSISTIDO: Título=The King's Avatar, Ano=2019, IMDbID=tt10732794, Data=Wed Jun 26 22:15:36 BRT 2024
ASSISTIDO: Título=The King's Avatar, Ano=2019, IMDbID=tt10732794, Data=Wed Jun 26 22:19:25 BRT 2024
ASSISTIDO: Título=The King's Avatar, Ano=2019, IMDbID=tt10732794, Data=Wed Jun 26 22:22:19 BRT 2024
ASSISTIDO: Título=Avatar: The Way of Water, Ano=2022, IMDbID=tt1630029, Data=Wed Jun 26 22:31:08 BRT 2024
ASSISTIDO: Título=The King's Avatar, Ano=2017–, IMDbID=tt6859260, Data=Wed Jun 26 22:32:19 BRT 2024
